Date,BTC_supply
11/11/2015,14823050
11/10/2015,14819475
11/9/2015,14815800
11/8/2015,14812300
11/7/2015,14808225
11/6/2015,14804800
11/5/2015,14801075
11/4/2015,14797200
11/3/2015,14793250
11/2/2015,14789625
11/1/2015,14785650
10/31/2015,14781850
10/30/2015,14777750
10/29/2015,14774050
10/28/2015,14770650
10/27/2015,14766700
10/26/2015,14762900
10/25/2015,14759025
10/24/2015,14755550
10/23/2015,14751700
10/22/2015,14747775
10/21/2015,14744150
10/20/2015,14740975
10/19/2015,14736825
10/18/2015,14736825
10/17/2015,14733250
10/16/2015,14729975
10/15/2015,14726100
10/14/2015,14722025
10/13/2015,14718225
10/12/2015,14714875
10/11/2015,14711375
10/10/2015,14707625
10/9/2015,14703900
10/8/2015,14700575
10/7/2015,14697150
10/6/2015,14693775
10/5/2015,14690050
10/4/2015,14686350
10/3/2015,14682575
10/2/2015,14678775
10/1/2015,14675650
9/30/2015,14671800
9/29/2015,14667925
9/28/2015,14663600
9/27/2015,14660125
9/26/2015,14652725
9/25/2015,14648675
9/24/2015,14645050
9/23/2015,14641300
9/22/2015,14637300
9/21/2015,14634000
9/20/2015,14631000
9/19/2015,14627700
9/18/2015,14624100
9/17/2015,14620575
9/16/2015,14616850
9/15/2015,14612775
9/14/2015,14608800
9/13/2015,14605300
9/12/2015,14601900
9/11/2015,14597575
9/10/2015,14593350
