Date,S&P Adj Close,S&P Volume
11/21/2016,2198.179932,3607010000
11/22/2016,2202.939941,3957940000
11/23/2016,2204.719971,3418640000
11/25/2016,2213.350098,1584600000
11/28/2016,2201.719971,3505650000
11/29/2016,2204.659912,3706560000
11/30/2016,2198.810059,5533980000
12/1/2016,2191.080078,5063740000
12/2/2016,2191.949951,3779500000
12/5/2016,2204.709961,3895230000
12/6/2016,2212.22998,3855320000
12/7/2016,2241.350098,4501820000
12/8/2016,2246.189941,4200580000
12/9/2016,2259.530029,3884480000
12/12/2016,2256.959961,4034510000
12/13/2016,2271.719971,3857590000
12/14/2016,2253.280029,4406970000
12/15/2016,2262.030029,4168200000
12/16/2016,2258.070068,5920340000
12/19/2016,2262.530029,3248370000
12/20/2016,2270.76001,3298780000
12/21/2016,2265.179932,2852230000
12/22/2016,2260.959961,2876320000
12/23/2016,2263.790039,2020550000
12/27/2016,2268.879883,1987080000
12/28/2016,2249.919922,2392360000
12/29/2016,2249.26001,2336370000
12/30/2016,2238.830078,2670900000
1/3/2017,2257.830078,3770530000
1/4/2017,2270.75,3764890000
1/5/2017,2269,3761820000
1/6/2017,2276.97998,3339890000
1/9/2017,2268.899902,3217610000
1/10/2017,2268.899902,3638790000
1/11/2017,2275.320068,3620410000
1/12/2017,2270.439941,3462130000
1/13/2017,2274.639893,3081270000
1/17/2017,2267.889893,3584990000
1/18/2017,2271.889893,3315250000
1/19/2017,2263.689941,3165970000
1/20/2017,2271.310059,3524970000
1/23/2017,2265.199951,3152710000
1/24/2017,2280.070068,3810960000
1/25/2017,2298.370117,3846020000
1/26/2017,2296.679932,3610360000
1/27/2017,2294.689941,3135890000
1/30/2017,2280.899902,3591270000
1/31/2017,2278.870117,4087450000
2/1/2017,2279.550049,3916610000
2/2/2017,2280.850098,3807710000
2/3/2017,2297.419922,3597970000
2/6/2017,2292.560059,3109050000
2/7/2017,2293.080078,3448690000
2/8/2017,2294.669922,3609740000
2/9/2017,2307.870117,3677940000
2/10/2017,2316.100098,3475020000
2/13/2017,2328.25,3349730000
2/14/2017,2337.580078,3520910000
2/15/2017,2349.25,3775590000
2/16/2017,2347.219971,3672370000
2/17/2017,2351.159912,3513060000
2/21/2017,2365.379883,3579780000
2/22/2017,2362.820068,3468670000
2/23/2017,2363.810059,4015260000
2/24/2017,2367.340088,3831570000
2/27/2017,2369.75,3582610000
2/28/2017,2363.639893,4210140000
3/1/2017,2395.959961,4345180000
3/2/2017,2381.919922,3821320000
3/3/2017,2383.120117,3555260000
3/6/2017,2375.310059,3232700000
3/7/2017,2368.389893,3518390000
3/8/2017,2362.97998,3812100000
3/9/2017,2364.870117,3716340000
3/10/2017,2372.600098,3432950000
3/13/2017,2373.469971,3133900000
3/14/2017,2365.449951,3172630000
3/15/2017,2385.26001,3906840000
3/16/2017,2381.379883,3365660000
3/17/2017,2378.25,5178040000
3/20/2017,2373.469971,3054930000
3/21/2017,2344.02002,4265590000
3/22/2017,2348.449951,3572730000
3/23/2017,2345.959961,3260600000
3/24/2017,2343.97998,2975130000
3/27/2017,2341.590088,3240230000
3/28/2017,2358.570068,3367780000
3/29/2017,2361.129883,3106940000
3/30/2017,2368.060059,3158420000
3/31/2017,2362.719971,3354110000
4/3/2017,2358.840088,3416400000
4/4/2017,2360.159912,3206240000
4/5/2017,2352.949951,3770520000
4/6/2017,2357.48999,3201920000
4/7/2017,2355.540039,3053150000
4/10/2017,2357.159912,2785410000
4/11/2017,2353.780029,3117420000
4/12/2017,2344.929932,3196950000
4/13/2017,2328.949951,3143890000
4/17/2017,2349.01001,2824710000
4/18/2017,2342.189941,3269840000
4/19/2017,2338.169922,3519900000
4/20/2017,2355.840088,3647420000
4/21/2017,2348.689941,3503360000
4/24/2017,2374.149902,3690650000
4/25/2017,2388.610107,3995240000
4/26/2017,2387.449951,4105920000
4/27/2017,2388.77002,4098460000
4/28/2017,2384.199951,3718270000
5/1/2017,2388.330078,3199240000
5/2/2017,2391.169922,3813680000
5/3/2017,2388.129883,3893990000
5/4/2017,2389.52002,4362540000
5/5/2017,2399.290039,3540140000
5/8/2017,2399.379883,3429440000
5/9/2017,2396.919922,3653590000
5/10/2017,2399.629883,3643530000
5/11/2017,2394.439941,3727420000
5/12/2017,2390.899902,3305630000
5/15/2017,2402.320068,3473600000
5/16/2017,2400.669922,3420790000
5/17/2017,2357.030029,4163000000
5/18/2017,2365.719971,4319420000
5/19/2017,2381.72998,3825160000
5/22/2017,2394.02002,3172830000
5/23/2017,2398.419922,3213570000
5/24/2017,2404.389893,3389900000
5/25/2017,2415.070068,3535390000
5/26/2017,2415.820068,2805040000
5/30/2017,2412.909912,3203160000
5/31/2017,2411.800049,4516110000
6/1/2017,2430.060059,3857140000
6/2/2017,2439.070068,3461680000
6/5/2017,2436.100098,2912600000
6/6/2017,2429.330078,3357840000
6/7/2017,2433.139893,3572300000
6/8/2017,2433.790039,3728860000
6/9/2017,2431.77002,4027340000
6/12/2017,2429.389893,4027750000
6/13/2017,2440.350098,3275500000
6/14/2017,2437.919922,3555590000
6/15/2017,2432.459961,3353050000
6/16/2017,2433.149902,5284720000
6/19/2017,2453.459961,3264700000
6/20/2017,2437.030029,3416510000
6/21/2017,2435.610107,3594820000
6/22/2017,2434.5,3468210000
6/23/2017,2438.300049,5278330000
6/26/2017,2439.070068,3238970000
6/27/2017,2419.379883,3563910000
6/28/2017,2440.689941,3500800000
6/29/2017,2419.699951,3900280000
6/30/2017,2423.409912,3361590000
7/3/2017,2429.01001,1962290000
7/5/2017,2432.540039,3367220000
7/6/2017,2409.75,3364520000
7/7/2017,2425.179932,2901330000
7/10/2017,2427.429932,2999130000
7/11/2017,2425.530029,3106750000
7/12/2017,2443.25,3171620000
7/13/2017,2447.830078,3067670000
7/14/2017,2459.27002,2736640000
7/17/2017,2459.139893,2793170000
7/18/2017,2460.610107,2962130000
7/19/2017,2473.830078,3059760000
7/20/2017,2473.449951,3182780000
7/21/2017,2472.540039,3059570000
7/24/2017,2469.909912,3010240000
7/25/2017,2477.129883,4108060000
7/26/2017,2477.830078,3557020000
7/27/2017,2475.419922,3995520000
7/28/2017,2472.100098,3294770000
7/31/2017,2470.300049,3469210000
8/1/2017,2476.350098,3460860000
8/2/2017,2477.570068,3478580000
8/3/2017,2472.159912,3645020000
8/4/2017,2476.830078,3235140000
8/7/2017,2480.909912,2931780000
8/8/2017,2474.919922,3344640000
8/9/2017,2474.02002,3308060000
8/10/2017,2438.209961,3621070000
8/11/2017,2441.320068,3159930000
8/14/2017,2465.840088,2822550000
8/15/2017,2464.610107,2913100000
8/16/2017,2468.110107,2953650000
8/17/2017,2430.01001,3142620000
8/18/2017,2425.550049,3415680000
8/21/2017,2428.370117,2788150000
8/22/2017,2452.51001,2777490000
8/23/2017,2444.040039,2785290000
8/24/2017,2438.969971,2846590000
8/25/2017,2443.050049,2588780000
8/28/2017,2444.23999,2677700000
8/29/2017,2446.300049,2737580000
8/30/2017,2457.590088,2633660000
8/31/2017,2471.649902,3348110000
9/1/2017,2476.550049,2710730000
9/5/2017,2457.850098,3490260000
9/6/2017,2465.540039,3374410000
9/7/2017,2465.100098,3353930000
9/8/2017,2461.429932,3302490000
9/11/2017,2488.110107,3291760000
9/12/2017,2496.47998,3230920000
9/13/2017,2498.370117,3368050000
9/14/2017,2495.620117,3414460000
9/15/2017,2500.22998,4853170000
9/18/2017,2503.870117,3194300000
9/19/2017,2506.649902,3249100000
9/20/2017,2508.23999,3530010000
9/21/2017,2500.600098,2930860000
9/22/2017,2502.219971,2865960000
9/25/2017,2496.659912,3297890000
9/26/2017,2496.840088,3043110000
9/27/2017,2507.040039,3456030000
9/28/2017,2510.060059,3168620000
9/29/2017,2519.360107,3211920000
10/2/2017,2529.120117,3199730000
10/3/2017,2534.580078,3068850000
10/4/2017,2537.73999,3017120000
10/5/2017,2552.070068,3045120000
10/6/2017,2549.330078,2884570000
10/9/2017,2544.72998,2483970000
10/10/2017,2550.639893,2960500000
10/11/2017,2555.23999,2976090000
10/12/2017,2550.929932,3151510000
10/13/2017,2553.169922,3149440000
10/16/2017,2557.639893,2916020000
10/17/2017,2559.360107,2889390000
10/18/2017,2561.26001,2998090000
10/19/2017,2562.100098,2990710000
10/20/2017,2575.209961,3384650000
10/23/2017,2564.97998,3211710000
10/24/2017,2569.129883,3427330000
10/25/2017,2557.149902,3874510000
10/26/2017,2560.399902,3869050000
10/27/2017,2581.070068,3887110000
10/30/2017,2572.830078,3658870000
10/31/2017,2575.26001,3827230000
11/1/2017,2579.360107,3813180000
11/2/2017,2579.850098,4048270000
11/3/2017,2587.840088,3567710000
11/6/2017,2591.129883,3539080000
11/7/2017,2590.639893,3809650000
11/8/2017,2594.379883,3899360000
11/9/2017,2584.620117,3831610000
11/10/2017,2582.300049,3486910000
11/13/2017,2584.840088,3402930000
11/14/2017,2578.870117,3641760000
11/15/2017,2564.620117,3558890000
11/16/2017,2585.639893,3312710000
11/17/2017,2578.850098,3300160000
11/20/2017,2582.139893,3003540000
11/21/2017,2599.030029,3332720000
11/22/2017,2597.080078,2762950000
11/24/2017,2602.419922,1349780000
11/27/2017,2601.419922,3006860000
11/28/2017,2627.040039,3488420000
11/29/2017,2626.070068,4078280000
11/30/2017,2647.580078,4938490000
12/1/2017,2642.219971,3942320000
12/4/2017,2639.439941,4023150000
12/5/2017,2629.570068,3539040000
12/6/2017,2629.27002,3229000000
12/7/2017,2636.97998,3292400000
12/8/2017,2651.5,3106150000
12/11/2017,2659.98999,3091950000
12/12/2017,2664.110107,3555680000
12/13/2017,2662.850098,3542370000
12/14/2017,2652.01001,3430030000
12/15/2017,2675.810059,5723920000
12/18/2017,2690.159912,3724660000
12/19/2017,2681.469971,3368590000
12/20/2017,2679.25,3241030000
12/21/2017,2684.570068,3273390000
12/22/2017,2683.340088,2399830000
12/26/2017,2680.5,1968780000
12/27/2017,2682.620117,2202080000
12/28/2017,2687.540039,2153330000
12/29/2017,2673.610107,2443490000
1/2/2018,2695.810059,3367250000
1/3/2018,2713.060059,3538660000
1/4/2018,2723.98999,3695260000
