Date,ETH_price,ETH_volume
12/24/2016,7.222762848,5396882.27
12/25/2016,7.213234159,6089953.449
12/26/2016,7.268475378,4090569.333
12/27/2016,7.171806594,6649186.116
12/28/2016,7.613307736,13844753.34
12/29/2016,8.172329057,20692130.79
12/30/2016,8.153786527,7751538.432
12/31/2016,8.010852235,3754739.209
1/1/2017,8.064789989,7811699.126
1/2/2017,8.361286161,8192075.242
1/3/2017,9.626792385,24617090.48
1/4/2017,10.97225285,30283873.09
1/5/2017,10.11525424,31832239.06
1/6/2017,10.1546583,23015612.49
1/7/2017,9.824278869,15178458.28
1/8/2017,10.2678367,9726315.158
1/9/2017,10.28595597,18147872.43
1/10/2017,10.52365071,8483903.665
1/11/2017,9.661693874,15650725.64
1/12/2017,9.667158942,10113120.41
1/13/2017,9.650805119,7919565.412
1/14/2017,9.695262752,4879177.658
1/15/2017,9.785923386,4332221.111
1/16/2017,9.521283917,5886593.491
1/17/2017,10.2584583,14660002.94
1/18/2017,10.12553774,8053530.98
1/19/2017,10.38530617,6357101.909
1/20/2017,10.54996056,7935034.034
1/21/2017,10.87263399,8840650.536
1/22/2017,10.74535605,5158451.375
1/23/2017,10.7510244,5620391.167
1/24/2017,10.39908725,5709572.008
1/25/2017,10.47167123,5749423.917
1/26/2017,10.55525588,6557326.851
1/27/2017,10.50997909,5497367.839
1/28/2017,10.55496295,5053699.381
1/29/2017,10.4304426,3291646.734
1/30/2017,10.5704113,5394044.156
1/31/2017,10.67729802,8686038.922
2/1/2017,10.70098942,9511590.154
2/2/2017,10.81046109,6770261.661
2/3/2017,10.93768558,8348606.142
2/4/2017,11.33331586,10294011.75
2/5/2017,11.24223884,3675287.631
2/6/2017,11.29401613,4068555.062
2/7/2017,11.43316744,4749524.532
2/8/2017,11.33515301,6195998.767
2/9/2017,10.91496395,13014114.53
2/10/2017,11.27564064,8465560.863
2/11/2017,11.39912537,5365544.877
2/12/2017,11.35416456,4159375.255
2/13/2017,11.28194702,4407682.63
2/14/2017,12.97214505,31343305.13
2/15/2017,12.93471601,12601119.25
2/16/2017,12.8359688,10436344.69
2/17/2017,12.70348385,7412007.524
2/18/2017,12.81628533,5979769.378
2/19/2017,12.7754456,5083526.064
2/20/2017,12.75022377,6982638.937
2/21/2017,12.73614094,12724890.25
2/22/2017,12.60029641,6874100.082
2/23/2017,13.15516546,8909149.883
2/24/2017,13.07187123,13610109.54
2/25/2017,13.54693861,12468242.9
2/26/2017,14.54767619,13782004.35
2/27/2017,15.35869036,20501520.19
2/28/2017,15.70278123,43441932.37
3/1/2017,17.16802971,26801192.63
3/2/2017,18.99358179,63520413.51
3/3/2017,19.58574948,63619640.04
3/4/2017,18.63867345,17012295.24
3/5/2017,19.24736466,16685230.68
3/6/2017,19.67070561,19157704.33
3/7/2017,18.82733332,22162502.62
3/8/2017,16.74974358,25853719.8
3/9/2017,17.63212882,19983777.62
3/10/2017,19.26359043,57671666.86
3/11/2017,21.39641323,49677899.62
3/12/2017,23.09884796,49928738.78
3/13/2017,28.4460652,171741714
3/14/2017,28.53666459,70373909.66
3/15/2017,34.19736421,116848018.8
3/16/2017,39.86185607,278693085.3
3/17/2017,44.06729599,334923528.9
3/18/2017,32.26798527,151727339.7
3/19/2017,44.0887975,151889492.8
3/20/2017,41.86369288,100344408.2
3/21/2017,42.47845801,59182511.96
3/22/2017,41.26261254,66568697.13
3/23/2017,43.27492998,64280704.83
3/24/2017,50.89479144,186199954.7
3/25/2017,50.67896649,161617494.5
3/26/2017,50.04945421,85306682.68
3/27/2017,49.0171138,72421320.03
3/28/2017,50.25954286,63445924.96
3/29/2017,52.84379426,94092094.51
3/30/2017,52.31317521,51703487.39
3/31/2017,49.96466728,93559373.29
4/1/2017,50.42578761,57319943.04
4/2/2017,48.37846728,86493796.36
4/3/2017,43.57923996,107658222.9
4/4/2017,41.79779505,94009509.91
4/5/2017,45.59029505,77394936.34
4/6/2017,42.97852521,83596063.25
4/7/2017,42.40137666,45710556.43
4/8/2017,44.50128439,47830509.43
4/9/2017,44.19076107,23843828.24
4/10/2017,43.90534129,30011146.71
4/11/2017,43.85889484,24362779.83
4/12/2017,46.19788349,64060330.39
4/13/2017,49.75033757,105834573.1
4/14/2017,47.56205172,57312861.71
4/15/2017,49.12279341,44031479.43
4/16/2017,48.70871928,18940687.57
4/17/2017,48.34641781,29334200.22
4/18/2017,50.75917082,46490458.15
4/19/2017,48.15949632,49801919.05
4/20/2017,50.06525365,51865276.23
4/21/2017,48.80173571,29790338.03
4/22/2017,49.07987065,25473890.08
4/23/2017,50.60871348,29345869.99
4/24/2017,51.09741864,41775081.58
4/25/2017,50.97375547,29265025.37
4/26/2017,54.87817857,90529456.77
4/27/2017,63.95735376,186806133.1
4/28/2017,73.01096292,270510184.7
4/29/2017,70.45153825,126594019.3
4/30/2017,79.80255394,173218958.2
5/1/2017,76.8461778,290126273
5/2/2017,77.34604387,138794895.5
5/3/2017,80.92949158,115183975.1
5/4/2017,94.1122652,269928948.8
5/5/2017,91.16038714,233798440.2
5/6/2017,96.42767965,95042529.83
5/7/2017,89.73967948,109489063.9
5/8/2017,87.94812005,166178760.5
5/9/2017,87.50244391,258922158.3
5/10/2017,88.41058887,109313275.9
5/11/2017,88.45664874,94641972.77
5/12/2017,88.18109149,90420897.82
5/13/2017,89.13893168,59897616.44
5/14/2017,90.05504056,48280690.88
5/15/2017,90.5041316,118176219
5/16/2017,87.09148558,96955301.32
5/17/2017,88.21316751,116563051.5
5/18/2017,96.62584623,148398962.7
5/19/2017,122.162783,380753404.3
5/20/2017,123.0282031,211606741
5/21/2017,148.6573205,362117265.2
5/22/2017,153.9900638,733476989
5/23/2017,171.0800283,314107904.8
5/24/2017,190.4258132,465231566.9
5/25/2017,176.8178151,455310601.9
5/26/2017,162.9444864,320845434.5
5/27/2017,159.0552476,524489553.9
5/28/2017,172.3406699,275566686.9
5/29/2017,196.0785933,317142762.9
5/30/2017,230.7983714,820279582.2
5/31/2017,231.3721267,649753307.3
6/1/2017,221.8280712,438784642.5
6/2/2017,224.3167055,226780300.7
6/3/2017,225.3975944,199543169.9
6/4/2017,247.4275411,405540899.4
6/5/2017,248.9301252,233840017.3
